               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09102,            0.040237,            0.048602,           0.0010665,            0.098274,           0.0006209,          0.00013223,            0.090253,            0.018061,            0.049793,            0.070049,           0.0033279,           0.0033279
                   1,            0.080954,            0.043673,            0.045862,           0.0066817,             0.45581,            0.010136,           0.0024426,            0.082221,            0.018209,            0.050088,            0.039955,            0.006567,            0.006567
                   2,            0.070676,            0.043766,            0.044159,               0.266,            0.087606,            0.055352,             0.01955,            0.072628,            0.018439,            0.049315,           0.0097662,           0.0097119,           0.0097119
                   3,             0.06422,            0.042041,            0.041172,               0.303,             0.17696,             0.12723,            0.043039,            0.065957,            0.016886,            0.042485,           0.0095757,           0.0095757,           0.0095757
                   4,            0.059838,            0.040534,            0.037233,             0.20171,             0.24842,             0.18281,            0.067775,            0.062389,            0.015854,            0.038902,           0.0095757,           0.0095757,           0.0095757
                   5,            0.057236,            0.040296,            0.034238,             0.32154,             0.31111,             0.26462,             0.10349,            0.058922,            0.016005,            0.036737,           0.0094343,           0.0094343,           0.0094343
                   6,            0.055081,            0.039063,            0.032138,              0.4208,               0.345,             0.34965,             0.13581,            0.056735,            0.014496,            0.031664,           0.0092929,           0.0092929,           0.0092929
                   7,            0.053565,            0.038314,            0.030187,             0.45204,             0.41838,             0.40376,             0.17971,            0.053161,             0.01436,             0.03097,           0.0091514,           0.0091514,           0.0091514
                   8,            0.052277,            0.038022,             0.02863,             0.47502,             0.40525,             0.43727,             0.19042,            0.052562,            0.014904,            0.031148,             0.00901,             0.00901,             0.00901
                   9,             0.05131,            0.037438,             0.02746,             0.62106,             0.39133,             0.49083,             0.22768,            0.051439,            0.014487,            0.028675,           0.0088686,           0.0088686,           0.0088686
                  10,            0.050112,            0.037081,            0.026499,             0.52049,             0.47546,             0.48477,             0.21463,            0.051886,            0.014135,            0.028358,           0.0087271,           0.0087271,           0.0087271
                  11,            0.049463,            0.036949,             0.02558,             0.58093,             0.51206,             0.51868,             0.23465,            0.050151,            0.013914,            0.024669,           0.0085857,           0.0085857,           0.0085857
                  12,            0.048479,            0.036186,            0.024325,             0.60592,             0.52281,             0.56208,             0.26138,            0.048123,            0.013333,            0.022742,           0.0084443,           0.0084443,           0.0084443
                  13,            0.047989,            0.035982,            0.023758,             0.67556,             0.53334,             0.59822,             0.28185,            0.048368,            0.013374,            0.023341,           0.0083029,           0.0083029,           0.0083029
                  14,            0.047128,            0.035837,            0.022956,              0.6494,             0.53228,             0.59501,             0.27319,            0.047069,            0.013112,            0.020703,           0.0081614,           0.0081614,           0.0081614
                  15,             0.04663,            0.035318,            0.022355,             0.67101,             0.54344,             0.61659,             0.28632,            0.046122,            0.013105,            0.023279,             0.00802,             0.00802,             0.00802
                  16,            0.046084,            0.035038,            0.021486,             0.67846,             0.58373,             0.64397,             0.30608,            0.044584,            0.012789,            0.020597,           0.0078786,           0.0078786,           0.0078786
                  17,            0.045645,            0.035157,            0.021052,             0.69559,             0.62914,             0.67976,             0.34221,            0.043506,            0.012585,            0.017157,           0.0077371,           0.0077371,           0.0077371
                  18,            0.044649,            0.034227,            0.020189,             0.71573,             0.62034,             0.69241,              0.3293,            0.044165,            0.012537,            0.016082,           0.0075957,           0.0075957,           0.0075957
                  19,            0.044379,            0.034202,            0.019658,             0.74808,             0.60909,             0.72105,             0.37073,            0.042622,            0.012518,            0.015933,           0.0074543,           0.0074543,           0.0074543
                  20,            0.044277,            0.033657,             0.01927,             0.73355,             0.63261,             0.73152,             0.36477,            0.042504,            0.012081,            0.016132,           0.0073129,           0.0073129,           0.0073129
                  21,            0.043457,            0.033666,            0.018655,             0.71708,             0.65609,             0.71705,             0.36584,            0.041669,            0.012397,            0.014918,           0.0071714,           0.0071714,           0.0071714
                  22,            0.043176,            0.033192,            0.018568,              0.7519,             0.69745,              0.7576,             0.38941,            0.041053,            0.012119,            0.013584,             0.00703,             0.00703,             0.00703
                  23,            0.042649,            0.032798,            0.017825,             0.70925,             0.72664,             0.76281,             0.41438,            0.039886,            0.011994,            0.015491,           0.0068886,           0.0068886,           0.0068886
                  24,            0.042175,            0.032698,             0.01743,             0.83145,             0.68344,             0.78146,             0.41205,            0.040837,             0.01169,             0.01287,           0.0067471,           0.0067471,           0.0067471
                  25,            0.041857,            0.032678,            0.016982,             0.76046,             0.73871,             0.79925,             0.40823,            0.039469,            0.011678,            0.014482,           0.0066057,           0.0066057,           0.0066057
                  26,            0.041492,            0.032191,            0.016548,             0.81629,             0.71749,             0.80813,               0.428,            0.039825,            0.011481,            0.013364,           0.0064643,           0.0064643,           0.0064643
                  27,            0.041218,            0.031788,            0.016522,             0.85067,             0.67761,             0.81406,             0.43681,            0.038244,            0.011767,            0.010318,           0.0063229,           0.0063229,           0.0063229
                  28,            0.040914,            0.032243,            0.015999,             0.80312,             0.76113,             0.82534,             0.43929,            0.038145,            0.011095,            0.012229,           0.0061814,           0.0061814,           0.0061814
                  29,            0.040371,            0.031615,            0.015493,             0.82575,             0.76488,             0.83951,             0.45004,            0.038774,            0.010953,            0.010752,             0.00604,             0.00604,             0.00604
                  30,            0.040225,            0.031757,            0.015266,             0.80803,             0.75387,             0.82941,             0.47433,            0.037179,             0.01109,            0.011782,           0.0058986,           0.0058986,           0.0058986
                  31,            0.040236,            0.031359,            0.015132,             0.87112,             0.77159,              0.8566,             0.47856,            0.037225,            0.010698,            0.011301,           0.0057571,           0.0057571,           0.0057571
                  32,            0.039742,            0.031533,            0.014637,             0.81026,             0.78884,               0.851,              0.4883,            0.036467,            0.010971,            0.010137,           0.0056157,           0.0056157,           0.0056157
                  33,            0.039451,            0.030949,             0.01447,             0.81774,             0.78894,             0.85463,             0.48953,            0.035952,            0.010812,           0.0099237,           0.0054743,           0.0054743,           0.0054743
                  34,            0.039035,            0.030973,            0.014422,             0.85873,              0.7976,             0.86865,             0.50111,            0.035799,            0.010609,           0.0099182,           0.0053329,           0.0053329,           0.0053329
                  35,            0.038675,            0.030906,            0.013718,             0.83546,             0.79439,             0.85957,             0.50104,            0.035791,            0.010544,           0.0084529,           0.0051914,           0.0051914,           0.0051914
                  36,            0.038442,            0.030252,            0.013857,             0.85994,             0.80725,             0.87109,             0.50595,            0.035588,            0.010578,           0.0096643,             0.00505,             0.00505,             0.00505
                  37,            0.038068,            0.030339,            0.013334,             0.87372,             0.80324,             0.87993,              0.5046,            0.035726,            0.010517,           0.0089413,           0.0049086,           0.0049086,           0.0049086
                  38,            0.037996,             0.03057,            0.013166,               0.854,             0.82773,             0.88479,             0.50961,            0.035766,            0.010151,           0.0084068,           0.0047671,           0.0047671,           0.0047671
                  39,            0.037642,            0.029864,            0.012891,              0.8541,             0.80971,             0.87602,             0.51829,            0.034644,            0.010259,           0.0080123,           0.0046257,           0.0046257,           0.0046257
